Symbol,Precision
63,DISHTV,0.7723577235772358
64,DCAL,0.8316831683168316
65,DIVISLAB,0.7678571428571429
66,EPL,0.8305084745762712
67,ESABINDIA,0.7627118644067796
68,EDELWEISS,0.7545454545454545
69,EICHERMOT,0.9047619047619048
70,EMAMILTD,0.76
71,ENDURANCE,0.8333333333333334
72,EXIDEIND,0.7833333333333333
73,FDC,0.8571428571428571
74,FEDERALBNK,0.7536231884057971
75,FINCABLES,0.8392857142857143
76,FINPIPE,0.7924528301886793
77,FSL,0.8214285714285714
78,FORTIS,0.7647058823529411
79,FCONSUMER,0.7906976744186046
80,FRETAIL,0.7786885245901639
81,GAIL,0.7972972972972973
82,GMMPFAUDLR,0.7818181818181819
83,GMRINFRA,0.813953488372093
84,GALAXYSURF,0.8181818181818182
85,GRSE,0.782608695652174
86,GICRE,0.7887323943661971
87,GILLETTE,0.8461538461538461
88,GODREJAGRO,0.7906976744186046
89,GODREJCP,0.775
90,GODREJIND,0.8833333333333333
91,GODREJPROP,0.8769230769230769
92,GRAPHITE,0.782608695652174
93,GRASIM,0.76
94,GRINDWELL,0.8055555555555556
95,GUJALKALI,0.8169014084507042
96,GAEL,0.7631578947368421
97,FLUOROCHEM,0.8928571428571429
98,GUJGASLTD,0.7608695652173914
99,GMDCLTD,0.8247422680412371
100,GNFC,0.7738095238095238
101,GPPL,0.8169014084507042
102,GSFC,0.8390804597701149
103,GULFOILLUB,0.7758620689655172
104,HEG,0.78125
105,HCLTECH,0.8292682926829268
106,HDFCAMC,0.8
107,HFCL,0.782608695652174
108,HATHWAY,0.8288288288288288
109,HAVELLS,0.7692307692307693
110,HEROMOTOCO,0.7678571428571429
111,HSCL,0.7628865979381443
112,HINDALCO,0.7590361445783133
113,HAL,0.8269230769230769
114,HINDCOPPER,0.7619047619047619
115,HONAUT,0.7906976744186046
116,HUDCO,0.8
117,HUHTAMAKI,0.8026315789473685
118,ICICIPRULI,0.8833333333333333
119,ISEC,0.8043478260869565
120,IDBI,0.7788461538461539
121,IDFCFIRSTB,0.7625
122,IFBIND,0.7735849056603774
123,IRB,0.7755102040816326
124,IRCON,0.7906976744186046
125,ITC,0.8421052631578947
126,ITI,0.8181818181818182
127,INDIACEM,0.8192771084337349
128,IBULHSGFIN,0.7692307692307693
129,IBREALEST,0.773109243697479
130,INDIANB,0.7606837606837606
131,IOC,0.8253968253968254
132,IOB,0.7611940298507462
133,IGL,0.7735849056603774
134,INDUSTOWER,0.8076923076923077
135,INDUSINDBK,0.7571428571428571
136,NAUKRI,0.7543859649122807
137,INOXLEISUR,0.7746478873239436
138,JKCEMENT,0.819672131147541
139,JKLAKSHMI,0.7733333333333333
140,JKPAPER,0.7763157894736842
141,JKTYRE,0.813953488372093
142,JMFINANCIL,0.7790697674418605
143,JSWSTEEL,0.7959183673469388
144,JAICORPLTD,0.7731958762886598
145,J&KBANK,0.7777777777777778
146,JAMNAAUTO,0.7922077922077922
147,JINDALSAW,0.7674418604651163
148,JSLHISAR,0.7634408602150538
149,JSL,0.7659574468085106
150,JINDALSTEL,0.8476190476190476
151,JCHAC,0.8235294117647058
152,JUSTDIAL,0.7959183673469388
153,JYOTHYLAB,0.813953488372093
154,KRBL,0.8024691358024691
155,KSB,0.8214285714285714
156,KANSAINER,0.76
157,KTKBANK,0.7763157894736842
